"respondent_id","role","company_size","current_plan","usage_frequency","overall_satisfaction","feature_importance_security","feature_importance_team_mgmt","feature_importance_reporting","feature_importance_pricing","enterprise_interest","nps_score","what_would_make_you_leave","enterprise_interest_detail"
"R001","Product Manager","11-50","Free","Daily","1","4","4","4","4","2","0","Moving 60 people to a new tool mid-project? Not happening unless something catastrophic breaks.",""
"R002","Product Manager","201-500","Team","Several times/week","4","5","5","4","4","4","8","We're committed for now.","Security review is the single reason we haven't expanded from 15 seats to the full 120-person engineering org. Our IT team needs SCIM provisioning, session management controls, and SOC2 Type II. I've literally been maintaining a spreadsheet of who has access to what because your permission model is too basic."
"R003","Product Manager","1-10","Free","Several times/week","4","3","4","4","4","1","7","The day they stop shipping improvements.","We switched from Jira to get away from enterprise complexity, not add more."
"R004","Product Manager","201-500","Team","Several times/week","5","4","4","5","3","5","9","","We need slightly better controls as our usage grows."
"R005","C-Suite/Executive","51-200","Team","Daily","2","4","4","4","3","4","4","Jira Cloud has gotten much better, might reconsider.","Better permissions would be useful for managing contractors."
"R006","Team Lead","201-500","Team","Several times/week","5","5","5","5","4","5","10","meh","Our CEO asks me for a cross-team status update every Monday and I dread it. Takes me 2 hours to compile because TaskFlow has no portfolio-level view. I need to see all projects, their status, blockers, and resource allocation in one dashboard. Would pay extra for this in a heartbeat."
"R007","Product Manager","1-10","Free","Daily","4","2","3","4","3","2","10","If the product stops improving.",""
"R008","C-Suite/Executive","501-1000","Team","Several times/week","3","3","4","5","3","5","8","The cost of retraining 40 people would be astronomical. We're kind of locked in at this point.","Enterprise analytics would be really helpful for planning."
"R009","Designer","11-50","Free","Daily","5","2","4","2","3","1","10","I've been championing TaskFlow for 2 years but without enterprise security features, our CISO won't let us expand.",""
"R010","Product Manager","11-50","Free","Several times/week","3","3","4","4","4","1","8","We have 3 years of project history in TaskFlow — switching would be a nightmare.",""
"R011","Product Manager","51-200","Team","Several times/week","4","1","4","3","3","3","8","happy enough",""
"R012","Designer","11-50","Free","Weekly","4","3","4","4","5","1","10","nope","I'm a solo PM, enterprise features aren't relevant to my workflow."
"R013","Project Manager","51-200","Team","Several times/week","4","2","5","3","3","3","7","Faster performance. Large boards are painfully slow.",""
"R014","Product Manager","51-200","Trial (expired)","Daily","5","1","4","4","5","4","9","Budget cuts could force us to consolidate tools.",""
"R015","Designer","1000+","Business","Weekly","4","3","3","3","5","5","9","Better Slack integration.","Interested but would need to see the pricing first."
"R016","Designer","11-50","Free","Weekly","4","4","3","2","5","1","10","Automations are too limited. Need more triggers and conditional logic.",""
"R017","Product Manager","11-50","Free","Several times/week","4","3","3","3","5","2","9","I keep trying to get buy-in for expanding our seats but leadership wants enterprise security first.","we're too small"
"R018","Product Manager","201-500","Team","Daily","3","3","4","5","4","5","8","Better customer support. Response times have been getting worse.",""
"R019","Team Lead","201-500","Team","Weekly","5","3","4","5","3","5","8","Better internationalization / language support.","Some reporting improvements would go a long way."
"R020","Designer","51-200","Team","Several times/week","4","2","4","3","3","4","9","If ClickUp gets their act together on UX, they'd be a real threat.",""
"R021","Engineer/Developer","1-10","Free","Rarely","4","1","3","3","4","2","7","N/A",""
"R022","Engineer/Developer","51-200","Team","Several times/week","1","1","5","3","2","4","1","Document/wiki integration. We use Notion alongside TaskFlow and it's clunky.","N/A"
"R023","VP/Director","501-1000","Team","Daily","4","4","3","4","4","5","9","",""
"R024","Product Manager","201-500","Team","Daily","5","3","4","5","3","4","9","Monday.com's automations are way ahead. If TaskFlow doesn't catch up...","Would love to consolidate our reporting into TaskFlow."
"R025","Team Lead","51-200","Team","Daily","5","3","4","3","4","4","9","",""
"R026","Team Lead","501-1000","Business","Daily","2","4","5","2","3","5","4","?",""
"R027","Product Manager","201-500","Team","Several times/week","3","5","4","4","4","5","8","If the community and plugin ecosystem dies. That's a big part of the value.","Our SOC2 auditor specifically called out TaskFlow as a gap in our compliance posture. We need IP allowlisting, enforced MFA, and an admin audit log at minimum. Our team of 60 is completely dependent on TaskFlow for sprint planning and I'd rather not switch, but compliance isn't optional."
"R028","Project Manager","11-50","Free","Daily","4","1","5","2","3","2","10","Been trying to get our entire org on TaskFlow but the lack of SSO is a dealbreaker for IT. Frustrating.","doesn't apply to us"
"R029","Engineer/Developer","201-500","Team","Weekly","4","5","4","4","5","4","7","","Data residency is a hard requirement for our EU team (35 people). We need to know our data stays in EU servers or we can't use TaskFlow for client projects. We've already gotten flagged in an internal audit. Would pay 3x our current rate for proper data controls."
"R030","Product Manager","501-1000","Business","Daily","3","4","5","3","3","5","7","If my team wanted to switch I'd listen but I like it.","maybe"
"R031","C-Suite/Executive","1000+","Business","Monthly","5","5","3","5","3","5","9","If the free tier gets gutted. That's how most of our team discovered it.","sure"
"R032","Product Manager","1000+","Business","Weekly","5","4","5","3","4","5","9","Better search. Finding old tasks or comments is surprisingly hard.","Interested"
"R033","Designer","11-50","Free","Weekly","4","2","2","3","4","2","10","Shortcut has been impressive in demos. Their API and reporting are ahead of TaskFlow.",""
"R034","Product Manager","501-1000","Business","Daily","3","3","5","3","3","5","6","Better API documentation and webhook support.","Yeah, we've talked about needing better admin controls at some point."
"R035","Designer","51-200","Trial (expired)","Daily","5","3","3","4","3","3","10","Template library. Every new project starts from scratch.",""
